线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
K39路,领秀城西门,解放桥南,发车时间,5:20,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K39路,解放桥南,领秀城西门,发车时间,6:00,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K41路,中海御峰官邸,大明湖东门,发车时间,5:15,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K41路,大明湖东门,中海御峰官邸,发车时间,5:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K42路,英雄山立交桥北,段兴东路张庄路,发车时间,5:55,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K42路,段兴西路张庄路,英雄山立交桥北,发车时间,6:00,21:05,2元,济南公交刷卡、支付宝八折优惠,站点详情
K43路,领秀城西门,济南站,发车时间,5:30,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K43路,济南站,领秀城西门,发车时间,6:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K45路,匡山小区,解放桥北,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K45路,解放桥北,匡山小区,发车时间,6:10,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K46路,大明湖东门,幸福柳广场东,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K46路,幸福柳广场东,大明湖东门,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K47路,解放桥北,地铁鲍山站,发车时间,5:30,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K47路,地铁鲍山站,解放桥北,发车时间,6:00,23:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K48路,山大兴隆山校区,洪家楼南路花园路,发车时间,5:45,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K48路,洪家楼南路花园路,山大兴隆山校区,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K49路,黄金山水郡公交车场,站前路南口,发车时间,5:25,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K49路,站前路南口,黄金山水郡公交车场,发车时间,6:05,22:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K50路,大坝公交车场,山东技师学院,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K50路,山东技师学院,大坝公交车场,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K51路,环山小区,济南站,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K51路,济南站,环山小区,发车时间,6:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B52路,公交集团,山大兴隆山校区,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B52路,山大兴隆山校区,公交集团,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B53路,大坝公交车场,友谊苑小区,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B53路,友谊苑小区,大坝公交车场,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K54路,地铁历山路站,东八里洼,发车时间,6:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K54路,东八里洼,地铁历山路站,发车时间,6:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K55路,还乡店,山东医高专,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K55路,山东医高专,还乡店,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K56路,省肿瘤医院西,山东技师学院,发车时间,5:40,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K56路,山东技师学院,省肿瘤医院西,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B57路,大坝公交车场,济钢新村,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B57路,济钢新村,大坝公交车场,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K58路,济南西站公交枢纽,动物园,发车时间,5:30,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K58路,动物园,济南西站公交枢纽,发车时间,5:40,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K59路,山东汽配城,浆水泉路荆山东路,发车时间,5:30,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K59路,浆水泉路荆山东路,山东汽配城,发车时间,6:00,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K60路,西八公交车场,波罗峪,发车时间,6:30,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K60路,波罗峪,西八公交车场,发车时间,5:45,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K61路,陡沟,腊山立交桥,发车时间,5:50,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K61路,腊山立交桥,陡沟,发车时间,6:20,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B62路,省立医院东院区,英雄山路六里山南路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B62路,英雄山路六里山南路,省立医院东院区,发车时间,6:00,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
B63路,刘智远村北,解放桥东,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B63路,解放桥东,公交新泺大街东口车场,发车时间,6:00,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K64路,英雄山立交桥北,甸柳庄,发车时间,5:15,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K64路,甸柳庄,英雄山立交桥北,发车时间,5:30,21:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
65路,西八公交车场,西营,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
65路,西营,西八公交车场,发车时间,5:30,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K66路,领秀城东区公交车场,动物园,发车时间,5:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K66路,动物园,领秀城东区公交车场,发车时间,4:50,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
